time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/loss
28,420.36,1124,50,57344,420.36,-0.0031650215896661393,0.0748046875,270,-0.05240428447723389,0.0037501769,0.2,0.0003,-0.7215257288888097,0.009121460265760106,6.604345981031656e-05
29,431.52,1124,52,59392,431.52,-0.002669131451693829,0.039501953125,280,-0.04181373119354248,0.0052112266,0.2,0.0003,-0.7072622697800398,0.006378930302798835,0.011178355664014816
30,443.6,1125,54,61440,443.6,-0.0009313546572229825,0.04072265625,290,-0.20357000827789307,0.0037150017,0.2,0.0003,-0.7432927327230573,0.004223486116234199,-0.0003052916727028787
31,454.6,1125,56,63488,454.6,-0.0016690273027052172,0.038037109375,300,-0.058720946311950684,0.0052743545,0.2,0.0003,-0.7471487967297434,0.0028257171437417127,-0.015747474506497383
32,462.72,1125,58,65536,462.72,-0.0006753971756552346,0.021484375,310,-0.11560559272766113,0.0032523882,0.2,0.0003,-0.7609479509294033,0.0018587426789508754,0.005736649967730045
33,471.66,1124,60,67584,471.66,-0.001987335640296806,0.059423828125,320,-0.22159230709075928,0.007958921,0.2,0.0003,-0.7511945746839046,0.0013862360294297105,0.009382383897900581
34,476.97,1124,61,69632,476.97,-0.0024884705897420646,0.041259765625,330,-0.11661016941070557,0.0063543036,0.2,0.0003,-0.7273786749690772,0.0010051099286783939,0.006276017054915428
35,479.48,1123,63,71680,479.48,-0.0004992217072867788,0.0134765625,340,-0.24026024341583252,0.0022335167,0.2,0.0003,-0.7589024359360337,0.000618285578184441,-0.0016672987258061767
36,483.77,1122,65,73728,483.77,-0.0009282371596782468,0.02021484375,350,-0.13730120658874512,0.0019876978,0.2,0.0003,-0.7450289554893971,0.0004917476631305818,-0.0018916031112894416
37,484.47,1121,67,75776,484.47,-0.0030608787907112855,0.054736328125,360,-0.11817681789398193,0.005741185,0.2,0.0003,-0.7282307529821992,0.0003362681232204068,-0.009180359542369843
38,484.8,1122,69,77824,484.8,-0.007455102501262445,0.14091796875,370,-0.0005145072937011719,0.009652076,0.2,0.0003,-0.6932875448837876,0.00025175686203624534,-0.02085919864475727
39,484.8,1122,71,79872,484.8,-0.001649773471581284,0.06171875,380,-0.4427574872970581,0.006164449,0.2,0.0003,-0.7123773135244846,0.0001539418116919933,-0.013863548636436462
40,493.68,1123,72,81920,493.68,-0.004204693491919898,0.124462890625,390,-0.4637030363082886,0.008952979,0.2,0.0003,-0.6703495929017663,0.00012348003380679984,-0.02107999660074711
41,500.0,1124,74,83968,500.0,-0.00333208738011308,0.053076171875,400,-0.4835021495819092,0.0047179563,0.2,0.0003,-0.7198829660192132,9.0398646531753e-05,-0.010257423855364323
42,500.0,1124,76,86016,500.0,-0.0019780965230893344,0.040673828125,410,-0.7343538999557495,0.0044699544,0.2,0.0003,-0.7121120283380151,7.843445412447636e-05,-0.0070432755164802074
43,500.0,1124,78,88064,500.0,-0.002828622491506394,0.019970703125,420,-0.2508949041366577,0.0031558126,0.2,0.0003,-0.7141892716288567,4.062345275599455e-05,-0.024706391617655754
44,500.0,1122,80,90112,500.0,-0.004090019152499735,0.051611328125,430,-1.107952356338501,0.0057322816,0.2,0.0003,-0.6741801699623465,3.9785922584201214e-05,-0.005506132263690233
45,500.0,1121,82,92160,500.0,-0.0025279970854171553,0.059423828125,440,-1.2559800148010254,0.0041832617,0.2,0.0003,-0.6733379095792771,3.141068002605607e-05,-0.017507977783679962
46,500.0,1121,84,94208,500.0,-0.005629661261627917,0.087548828125,450,-1.5061602592468262,0.008119202,0.2,0.0003,-0.6822253063321113,2.1605550148251496e-05,0.016681866720318794
47,500.0,1121,85,96256,500.0,-0.0028248208996956236,0.0748046875,460,-1.4671640396118164,0.008988574,0.2,0.0003,-0.6778374301269651,2.0649443860065732e-05,0.007018650881946087
48,500.0,1119,87,98304,500.0,-0.0007459786684194114,0.017431640625,470,-2.6772119998931885,0.0020902064,0.2,0.0003,-0.6584759993478656,1.4539275045422074e-05,-0.00879314448684454
49,500.0,1117,89,100352,500.0,-0.002726039915432921,0.110302734375,480,-1.3560855388641357,0.010905958,0.2,0.0003,-0.6141417833976448,7.362062751781195e-06,-0.017954355105757713
